"activity"	"subject"	"tBodyGyroMag-max()"	"tBodyGyroMag-min()"	"tBodyGyroMag-sma()"	"tBodyGyroMag-arCoeff()2"	"tBodyGyroMag-arCoeff()3"	"tBodyGyroMag-arCoeff()4"	"fBodyGyro-skewness()-X"	"fBodyGyro-kurtosis()-X"	"fBodyGyro-skewness()-Y"	"fBodyGyro-bandsEnergy()-9,16"	"fBodyGyro-bandsEnergy()-17,24"	"fBodyGyro-bandsEnergy()-25,32"	"fBodyAcc-energy()-Y"	"fBodyAcc-energy()-Z"	"fBodyAcc-iqr()-X"	"fBodyAcc-entropy()-Z"	"fBodyAcc-maxInds-X"	"fBodyAcc-maxInds-Y"	"fBodyAccJerk-std()-Y"	"fBodyAccJerk-std()-Z"	"fBodyAccJerk-mad()-X"	"fBodyAccJerk-max()-Z"	"fBodyAccJerk-min()-X"	"fBodyAccJerk-min()-Y"	"fBodyAccJerk-bandsEnergy()-57,64"	"fBodyAccJerk-bandsEnergy()-1,16"	"fBodyAccJerk-bandsEnergy()-17,32"	"fBodyAccJerk-bandsEnergy()-1,8"	"fBodyAccJerk-bandsEnergy()-9,16"	"fBodyAccJerk-bandsEnergy()-17,24"	"fBodyAcc-bandsEnergy()-1,24"	"fBodyAcc-bandsEnergy()-9,16"	"fBodyGyro-bandsEnergy()-25,48"	"fBodyGyro-bandsEnergy()-17,24.1"	"fBodyAcc-kurtosis()-Z"	"fBodyAcc-bandsEnergy()-17,24"	"fBodyAccJerk-bandsEnergy()-49,64"	"fBodyGyro-mean()-X"	"fBodyAccJerk-bandsEnergy()-1,24"	"fBodyAccJerk-bandsEnergy()-9,16.1"	"tGravityAcc-mean()-Z"	"tGravityAcc-std()-X"	"tGravityAcc-std()-Y"	"tGravityAcc-sma()"	"tGravityAcc-energy()-X"	"tGravityAcc-energy()-Y"	"tBodyAccJerk-min()-Y"	"tBodyAccJerk-min()-Z"	"tBodyAccJerk-sma()"	"tBodyAccJerk-arCoeff()-X,2"	"tBodyAccJerk-arCoeff()-X,3"	"tBodyAccJerk-arCoeff()-X,4"	"tBodyGyroJerk-arCoeff()-Z,4"	"tBodyGyroJerk-correlation()-X,Y"	"tBodyGyroJerk-correlation()-X,Z"	"tBodyAccMag-arCoeff()1"	"tBodyAccMag-arCoeff()2"	"tBodyAccMag-arCoeff()3"	"tBodyAccJerk-arCoeff()-Z,4"	"tBodyGyro-mean()-Y"	"tBodyGyro-max()-X"	"tBodyGyro-min()-Z"	"tBodyGyro-arCoeff()-Z,3"	"tBodyGyroJerk-mean()-X"	"tBodyGyro-entropy()-X"	"tBodyGyro-arCoeff()-X,3"
"WALKING"	1	-0.58065733089049	-0.69259727142219	-0.475404785802305	-0.134577102586455	0.14389614101585	-0.117131960956974	-0.206139497907205	-0.514354856078674	-0.115966843406052	-0.801041510461095	-0.883406175677234	-0.970142079740634	-0.669529376397694	-0.794034650662824	-0.519429387218156	-0.101002286654179	-0.76201543014121	-0.781556195391931	-0.466251676533372	-0.737861932680115	-0.454185006429395	-0.762341709423631	-0.860692590403458	-0.832411103916426	-0.98374139092219	-0.865865436772334	-0.718018186534582	-0.806098881729107	-0.767394890311239	-0.788228143492795	-0.818999470201729	-0.746118757438905	-0.964923538645533	-0.913269432824207	-0.407213740707781	-0.716724742192507	-0.9137311529683	-0.623219182311527	-0.720109873184438	-0.931078196311239	0.072339870389049	-0.9598594359366	-0.951150627458213	-0.0367570221189337	0.527750462829971	-0.705210404625072	0.559417589150432	0.69367453389049	-0.538169912672046	0.226547344503746	0.129597891243804	0.0278207283182421	0.0271146641678674	0.246227438940634	-0.167193038574928	0.0107480955951009	-0.0445568387524496	0.0854444841365706	0.0497364928167147	-0.0880722729400576	-0.621062787005187	0.459998913805764	-0.0423163119754755	-0.0971120197265994	-0.0617493807841499	0.225159308175187
"WALKING"	3	-0.708087812187683	-0.772826203607038	-0.643150121648094	-0.000264255063504399	0.0680683162800587	-0.0535119465671848	-0.197470789787478	-0.508328445858064	-0.247693203183871	-0.91589098483871	-0.874649725656891	-0.9485837828739	-0.75660210361261	-0.891902881826979	-0.623255114860997	-0.169477835140762	-0.761233561982405	-0.791397849266862	-0.559851186088408	-0.81080601659824	-0.583879131818798	-0.829244846891496	-0.889657888387097	-0.857666784043988	-0.987422098973607	-0.895697707536657	-0.842252813167156	-0.828958672530792	-0.898816928607038	-0.746149961095601	-0.855077423964809	-0.886036488035191	-0.950523918357771	-0.984872038826979	-0.557156149923754	-0.836914879214076	-0.960800284721408	-0.642097719778592	-0.792184972220821	-0.931644729472141	0.0480937904190616	-0.966457565630499	-0.9445645371261	0.021561393374956	0.470926521057185	-0.625185177360704	0.62398123538132	0.776199417653959	-0.646245684749355	0.216531028075367	0.0700699937568915	0.0752599680360704	-0.0289132302111437	0.014017028808563	0.0258443926935836	-0.107822249787708	0.0538960355278592	0.0566239901573607	0.117889953875191	-0.0743565308442815	-0.616187372755425	0.599414202577713	-0.0251657717227566	-0.0991554609633431	-0.0816490324851026	0.0430032129928534
"WALKING"	5	-0.688205235936424	-0.743857712970199	-0.602770284825828	-0.141134880855546	0.133752004337119	-0.0977463073887417	-0.243947205606623	-0.550487853230364	-0.205542945078808	-0.899529659966887	-0.859238050874172	-0.948427938874172	-0.676435208519868	-0.890286157218543	-0.586286198957947	-0.150359954012583	-0.73723563184106	-0.679028697155629	-0.491500434303907	-0.798835563807947	-0.522800347064238	-0.819365632582782	-0.867540634282781	-0.847715238475497	-0.984032370761589	-0.821555673824503	-0.848939947715232	-0.776536528278146	-0.765985320460265	-0.823051832311258	-0.746622108781457	-0.713415917907285	-0.948495195827815	-0.964887448907285	-0.335102913231788	-0.834927919470199	-0.95978298986755	-0.632239300829801	-0.729451412982781	-0.926905274834437	0.0921607197449904	-0.964629108807947	-0.939973777950331	-0.499615238692053	0.533345902450331	-0.638779938609272	0.602436232857616	0.770622727582781	-0.591358924347682	0.191572662873742	0.107270609267219	0.0610364548902649	0.0385932372128808	0.0519118728857616	0.0778619220718576	-0.102184756595033	0.0503938996625828	0.053124321057149	0.102539978785762	-0.0774316445596026	-0.636735925903974	0.495157373171523	-0.0368889391448973	-0.103522877147351	-0.0821406146549007	0.0626423827377483
"WALKING"	6	-0.738797120330508	-0.766653593127119	-0.690488145614407	-0.110491116003475	0.143838871380508	-0.12170859523178	-0.35052582850678	-0.64843292225	-0.351935681457203	-0.90234254059322	-0.912503620932203	-0.972376756991525	-0.757113874067797	-0.953679148728814	-0.665263140895763	-0.309108696529661	-0.666211043262712	-0.696045197665254	-0.616329704501695	-0.882511909533898	-0.622109543988136	-0.888795218050847	-0.882612194563559	-0.883912621245763	-0.983517747457627	-0.872909760762712	-0.840888298913559	-0.848420714661017	-0.83354831934322	-0.834211348855932	-0.819570633792797	-0.80679508259322	-0.968249939152542	-0.977779769576271	-0.449556421699153	-0.845278504791525	-0.978827492838983	-0.710060816508475	-0.791243856110169	-0.968731653135593	0.0584702778558475	-0.95651898940678	-0.952613166822034	-0.328814197510593	0.490907734533898	-0.587324974661017	0.692305001030932	0.857211343135593	-0.707617935659322	0.249124814390254	0.105613348843644	0.160211921616822	0.0966253560923729	-0.0523559761712712	-0.0616981701427966	-0.0326315549872034	0.0125400571853814	0.0328037087978814	0.212657125949153	-0.0772570116263983	-0.681185149516949	0.615166764072881	0.0448260592058898	-0.0919680285336017	-0.126781383333898	0.0815431322533898
"WALKING_UPSTAIRS"	6	-0.26145812574382	-0.521141407853933	-0.175624994910562	-0.261915810001124	0.109796337238202	-0.0825205236666966	-0.444012130235955	-0.727930585752809	-0.462710024550562	-0.381644302705618	-0.506859383438202	-0.673568915393258	-0.267060753044944	-0.752023621685393	-0.154391243813371	0.407524803483146	-0.778905397752809	-0.59775280858427	0.0354678201573034	-0.419621473955056	-0.0617705516921348	-0.474196898280899	-0.749686839286517	-0.603255998606742	-0.95260693752809	-0.61475615211236	-0.634832871752809	-0.581136496496629	-0.427800002131461	-0.40860847321573	-0.518931162108989	-0.343119046436517	-0.642651566595506	-0.773399066179775	-0.752806939258427	-0.624850970865169	-0.797785642303371	-0.0788327637831461	-0.290407381438652	-0.625286064325843	0.0184833048368539	-0.965208976741573	-0.946484614719101	-0.357946678598876	0.562566395842697	-0.62311587752809	0.181770998268539	0.335862879368539	-0.134531337342697	0.164778080422472	0.0196084271314607	0.115364172588764	0.208271317180337	-0.292527698921348	-0.00368411749213483	-0.107270195878652	0.0874325460775281	-0.053742880752809	0.437774607382022	-0.0529948418524719	-0.312046822975281	0.19069831911236	-0.0302561187179775	-0.0589128557764045	0.00525171199550561	0.0543392137393258
"WALKING_UPSTAIRS"	7	-0.624184024006494	-0.743166703597403	-0.581899897967532	-0.133872426348377	0.0972408273607143	0.0139212446199675	-0.078714995595	-0.405854102975974	-0.226163946629545	-0.905225294967532	-0.927468857792208	-0.935107314837662	-0.811105708538961	-0.729001481597078	-0.635242654404221	-0.0592296095840909	-0.773146206931818	-0.824891773811688	-0.62853163071948	-0.684856438953896	-0.570839180123247	-0.707052515573377	-0.875077305558442	-0.86016841887987	-0.98082250237013	-0.85728408711039	-0.857470751042208	-0.877421150756494	-0.882008206753247	-0.851072331405844	-0.821540775571429	-0.867827004707792	-0.937439633019481	-0.921566653181818	-0.415472584264545	-0.849989948529221	-0.885563640032467	-0.643767578493507	-0.835601042262987	-0.805592332457792	0.0342160711928604	-0.956538178587662	-0.955312554090909	-0.211339534241234	0.493419396363636	-0.901388614698052	0.698593753917532	0.643757274123052	-0.617410130164967	0.134174549924675	0.0171226466016234	0.090675725297987	-0.0384360942844156	-0.0109860908261364	0.177897102237175	-0.165042491944253	0.0931850174024026	0.0155946595167532	0.113878768841851	-0.0646077113078896	-0.626580760162338	0.590072090012987	-0.0854120254009416	-0.0942037376182662	-0.0688368169994156	-0.0282000905396104
"WALKING_UPSTAIRS"	8	-0.618554287955872	-0.634895616212811	-0.476214943826192	-0.0601828147890925	0.0521095579017794	0.00539242527580071	-0.128345077490712	-0.4468126996121	-0.158631289881139	-0.821201039617794	-0.897350352064057	-0.96455707544484	-0.569050253320285	-0.73822606452669	-0.570217190203559	-0.147084430869395	-0.772471585932384	-0.76156583611032	-0.45636839585694	-0.691480916950178	-0.519504841340925	-0.72109965574911	-0.870851288078292	-0.802869038501423	-0.981203323701068	-0.862196009074733	-0.730121651108541	-0.785057182384342	-0.705016531865801	-0.726762400419929	-0.816951306085409	-0.669214675530961	-0.957452102775801	-0.931330303238434	-0.470124576131673	-0.742586362698576	-0.880814591067616	-0.601382421248399	-0.648293059945374	-0.841534762946619	0.0836542406807936	-0.954256666035587	-0.94844645047331	-0.0796161025860498	0.406199178790036	-0.765105529466192	0.606429757427758	0.663223016852669	-0.527117450370071	0.163977627171174	0.10153988698884	0.0531343575460498	-0.0384016153836299	0.00737841273177936	-0.0386130727882562	0.0121217583969751	-0.0317550063707794	0.0972804665615658	0.118056537555872	-0.091077509832669	-0.56452142703274	0.476877615649142	-0.0470069266291815	-0.104969855200356	-0.150662178633075	0.253222106265267
"WALKING_UPSTAIRS"	11	-0.739602743291139	-0.75221932311076	-0.628367851066456	0.0364803152389241	0.0451834935132911	-0.00977386751806962	-0.203724480994304	-0.521735685486392	-0.120788686632595	-0.935049212056962	-0.947248014841772	-0.985336061772152	-0.756103586648734	-0.886941594208861	-0.669953699616772	-0.287494694875348	-0.756022865193038	-0.762236286572785	-0.609444998247785	-0.858259630601266	-0.617363508528038	-0.871114281962025	-0.880451309009494	-0.862986742120253	-0.986057668259494	-0.884710621772152	-0.89761019528481	-0.818301606471519	-0.878126742341772	-0.863057593639241	-0.818923799781646	-0.84956313835443	-0.982681664905063	-0.991625205537975	-0.380367647836392	-0.890265179778481	-0.972062371139241	-0.709949332117089	-0.828192575316456	-0.9697589375	0.140209861246835	-0.975394457689873	-0.957138770727848	-0.129414660667025	0.487171844588608	-0.585431775379747	0.678480001797468	0.819496687594937	-0.681406414705696	0.135703949862658	0.0680387873485759	0.127559602941076	-0.0111368582653481	0.103947376274747	-0.0574716329043671	-0.0525537424451899	0.0121828328955696	0.0563256165338608	0.113633305760475	-0.0582275770813291	-0.665772907132278	0.599227670727848	0.032968159543038	-0.0805473309873418	-0.22843905216076	0.0963355703616456
"WALKING_UPSTAIRS"	14	-0.952588776835443	-0.952916093544304	-0.945647504556962	0.00989816739329114	0.0917895566936709	-0.00234564727468355	-0.136823115753165	-0.475657159708861	-0.128513564553165	-0.999445598734177	-0.998798484683544	-0.999262965822785	-0.995237634303798	-0.994032310253165	-0.982344455316456	-0.696585753974684	-0.795835035367089	-0.935864978987342	-0.980582625189873	-0.982966496835443	-0.983119957848101	-0.984573910886076	-0.992236096455696	-0.985226161898734	-0.999963782278481	-0.99973215835443	-0.999666727594937	-0.998672213417722	-0.999658269367089	-0.999607627848101	-0.997636300126582	-0.99940084556962	-0.999137333291139	-0.999531470379747	-0.425446738746835	-0.999580699113924	-0.998889348607595	-0.969864989620253	-0.999381404810127	-0.999020892911393	0.130135867455696	-0.963666510379747	-0.965538336582279	-0.020546887635443	0.31750755721519	-0.816796838987342	0.980690751265823	0.977678249493671	-0.98271951835443	0.0283141782873418	0.0869110175278481	0.219533223287342	0.178205176262025	0.0133364989392405	0.0416111809329114	-0.0478391402303797	-0.0278120850949367	0.130367393629114	0.214867595136709	-0.0773800849721519	-0.862194826075949	0.813124091392405	0.210466637075949	-0.100542747126582	-0.329183411936709	0.294318756868354
"WALKING_DOWNSTAIRS"	14	-0.38017936042623	-0.539328981997295	-0.245124405807746	0.0716342583089754	0.103422387528279	-0.0878660869967213	-0.12686989747541	-0.466315187036885	-0.0853734768065574	-0.928661624016393	-0.957465520491803	-0.975817948278689	-0.512498427505328	-0.363884385027459	-0.564448420560656	0.184621766385246	-0.793495503168033	-0.84754098175	-0.479636522397131	-0.601003772988115	-0.476760474168934	-0.64732875532377	-0.849663313237705	-0.803819175997008	-0.983855198442623	-0.814280334426229	-0.879982406610656	-0.701467719889344	-0.790125033471312	-0.860055211065574	-0.79947607647541	-0.746675369045082	-0.968685137131148	-0.947394368196721	-0.422831818315984	-0.887758499930328	-0.833480736905738	-0.6115221855	-0.748811391629918	-0.717060510137705	-0.255499121995902	-0.933986522704918	-0.934878446827869	0.444336237176229	0.337175529655738	-0.841302484918033	0.572500640089344	0.54213571527459	-0.471183292893852	0.066761647487582	-0.0804446124790984	0.240024312693033	0.187334605456148	0.134263630025	0.19737614928582	-0.230050004919549	0.125973041853648	0.052760803025	0.191703720176229	-0.101356256508197	-0.571226907803279	0.199283752801639	0.0455248712866393	-0.109826852532898	0.078450807617623	0.150796420721639
